FID,COUNTRY,ISO_CODE,ISO_CC,ISO_SUB,NUTS_ID,CNTR_CODE,EFAS_name,ID
328,Ukraine,UA26,UA,26, , ,Ivano-Frankivska Oblast,509
546,Russian Federation,RUIVA,RU,IVA, , ,Ivanovskaya oblast,510
547,Turkey,TR35,TR,35, , ,Izmir,511
548,Turkey,TR35,TR,35, , ,Izmir,512
549,Turkey,TR35,TR,35, , ,Izmir,513
1281, , , , ,TR31,TR,Izmir,1266
550,Slovenia,SI040,SI,40, , ,Izola,514
329,Serbia,RS23,RS,23, , ,Jablanica,515
1449, , , , ,ES616,ES,Jaen,1456
1693, , , , ,SE322,SE,Jamtlands lan,1716
57,Norway,NO22,NO,22, , ,Jan Mayen,51
551,Egypt,EGJS,EG,JS, , ,Janub Sina,516
552,Egypt,EGJS,EG,JS, , ,Janub Sina,517
553,Jordan,JOJA,JO,JA, , ,Jarash,518
554,The Former Yugoslav Republic of Macedonia,MK35,MK,35, , ,Jegunovce,519
555,Tunisia,TN32,TN,32, , ,Jendouba,520
58,Jersey,JE,JE, , , ,Jersey,52
59,Jersey,JE,JE, , , ,Jersey,53
1375, , , , ,CZ031,CZ,Jihocesky kraj,1382
1383, , , , ,CZ064,CZ,Jihomoravsky kraj,1390
556,Algeria,DZ18,DZ,18, , ,Jijel,521
557,Algeria,DZ18,DZ,18, , ,Jijel,522
558,Estonia,EE49,EE,49, , ,Jogevamaa,523
1681, , , , ,SE211,SE,Jonkopings lan,1704
1595, , , , ,MK004,MK,Jugoistochen,1604
1702, , , , ,SI017,SI,Jugovzhodna Slovenija,1725
1594, , , , ,MK003,MK,Jugozapaden,1603
1360, , , , ,CH025,CH,Jura,1361
1511, , , , ,FR432,FR,Jura,1520
559,Latvia,LVJUR,LV,JUR, , ,Jurmala,524
561,Russian Federation,RUKB,RU,KB, , ,Kabardino-Balkarskaya Respublika,526
562,Egypt,EGKFS,EG,KFS, , ,Kafr ash Shaykh,527
563,Egypt,EGKFS,EG,KFS, , ,Kafr ash Shaykh,528
1467, , , , ,FI1D4,FI,Kainuu,1476
564,Tunisia,TN41,TN,41, , ,Kairouan,529
565,Georgia,GEKA,GE,KA, , ,Kakheti,530
330,Russian Federation,RUKGD,RU,KGD, , ,Kaliningradskaya oblast,531
566,Russian Federation,RUKGD,RU,KGD, , ,Kaliningradskaya oblast,532
567,Russian Federation,RUKGD,RU,KGD, , ,Kaliningradskaya oblast,533
568,Sweden,SEH,SE,H, , ,Kalmar lan,534
569,Sweden,SEH,SE,H, , ,Kalmar lan,535
570,Sweden,SEH,SE,H, , ,Kalmar lan,536
571,Sweden,SEH,SE,H, , ,Kalmar lan,537
1683, , , , ,SE213,SE,Kalmar lan,1706
572,Russian Federation,RUKLU,RU,KLU, , ,Kaluzhskaya oblast,538
1460, , , , ,FI1C2,FI,Kanta-Hame,1469
573,Russian Federation,RUKC,RU,KC, , ,Karachayevo-Cherkesskaya Respublika,539
574,Iraq,IQKA,IQ,KA, , ,Karbala,540
